PacketCount,Sent_Time,Encoding_Time,Size_In_Bytes,Msg_Rate
1,113.4502,0.9688,160,8.81
2,120.9307,0.1777,160,16.54
3,122.4839,0.0681,160,24.49
4,124.0712,0.0550,160,32.24
5,125.1257,0.0896,160,39.96
6,126.7648,0.0744,160,47.33
7,128.5724,0.0787,160,54.44
8,129.9862,0.0795,160,61.54
9,131.6395,0.2094,160,68.37
10,132.986,0.0847,160,75.20
11,133.0977,0.0229,160,82.65
12,134.3372,0.0605,160,89.33
13,135.3347,0.0480,160,96.06
14,136.2899,0.0506,160,102.72
15,137.2788,0.0394,160,109.27
16,138.0578,0.0347,160,115.89
17,142.5217,0.0976,160,119.28
18,143.4512,0.0377,160,125.48
19,144.4719,0.1024,160,131.51
20,145.5415,0.0415,160,137.42
21,146.491,0.0389,160,143.35
22,147.3963,0.0401,160,149.26
23,148.264,0.0379,160,155.13
24,149.1096,0.0376,160,160.96
25,160.3247,0.3884,160,155.93
26,163.2241,0.1674,160,159.29
27,164.3585,0.2560,160,164.28
28,166.8052,0.1958,160,167.86
29,168.6188,0.1575,160,171.99
30,170.3048,0.4998,160,176.15
31,172.8784,1.0948,160,179.32
32,175.0805,0.2512,160,182.77
33,177.8481,0.4169,160,185.55
34,181.8451,0.7154,160,186.97
35,184.8693,0.1611,160,189.32
36,189.9505,0.3234,160,189.52
37,191.7875,0.1282,160,192.92
38,193.8975,0.2023,160,195.98
39,194.5458,0.1530,160,200.47
40,196.6299,0.1668,160,203.43
41,199.1589,0.1527,160,205.87
42,200.8935,0.1630,160,209.07
43,202.8172,0.4447,160,212.01
44,204.0447,0.1744,160,215.64
45,205.2696,0.1349,160,219.22
46,206.3239,0.1283,160,222.95
47,210.2314,0.3994,160,223.56
48,218.0778,0.9201,160,220.10
49,220.5847,0.1468,160,222.14
50,222.4034,0.4598,160,224.82
51,224.8298,0.4656,160,226.84
52,226.8805,0.1183,160,229.20
53,228.8046,0.1314,160,231.64
54,230.582,0.0984,160,234.19
55,231.8581,0.0907,160,237.21
56,234.6965,0.0799,160,238.61
57,235.4274,0.1072,160,242.11
58,236.8395,0.0730,160,244.89
59,237.3796,0.0658,160,248.55
60,239.0694,0.1140,160,250.97
61,241.1353,0.0962,160,252.97
62,242.5772,0.0946,160,255.59
63,244.1015,0.7075,160,258.09
64,246.7479,0.2189,160,259.37
65,247.4654,0.1515,160,262.66
66,248.5642,0.0609,160,265.52
67,249.0781,0.0542,160,268.99
68,250.3273,0.0569,160,271.64
69,251.9723,0.0597,160,273.84
70,252.3415,0.0478,160,277.40
71,253.4789,0.1161,160,280.10
72,255.1149,0.0668,160,282.23
73,256.3177,0.0395,160,284.80
74,257.3241,0.0374,160,287.58
75,258.4024,0.0618,160,290.24
76,259.8489,0.0645,160,292.48
77,260.9014,0.0416,160,295.13
78,262.5464,0.0618,160,297.09
79,263.802,0.0398,160,299.47
80,264.9052,0.0402,160,301.99
81,266.0959,0.0883,160,304.40
82,267.1949,0.0341,160,306.89
83,268.2206,0.0372,160,309.45
84,269.3551,0.0325,160,311.86
85,270.4739,0.0393,160,314.26
86,271.5595,0.0764,160,316.69
87,272.6062,0.0341,160,319.14
88,273.5714,0.0324,160,321.67
89,274.4413,0.0340,160,324.30
90,275.6607,0.0382,160,326.49
91,276.8092,0.0556,160,328.75
92,278.5444,0.2819,160,330.29
93,279.8697,0.0362,160,332.30
94,280.7257,0.0356,160,334.85
95,281.8544,0.0534,160,337.05
96,282.8672,0.0342,160,339.38
97,283.8133,0.0485,160,341.77
98,284.7237,0.0317,160,344.19
99,286.0383,0.0453,160,346.11
100,287.1785,0.0329,160,348.22
