timestamp,clientIp,reestablishmentTime
2025-05-27T20:15:37.718Z,::ffff:172.18.0.2,3.261
2025-05-27T20:15:43.191Z,::ffff:172.18.0.2,3.265
2025-05-27T20:15:48.686Z,::ffff:172.18.0.2,3.28
2025-05-27T20:15:54.141Z,::ffff:172.18.0.2,3.27
2025-05-28T12:17:27.116Z,::ffff:172.18.0.4,3.297
2025-05-28T12:17:32.684Z,::ffff:172.18.0.4,3.439
2025-05-28T12:17:38.007Z,::ffff:172.18.0.4,3.314
2025-05-28T12:17:43.468Z,::ffff:172.18.0.4,3.287
2025-05-28T12:27:22.361Z,::ffff:172.18.0.4,3.299
2025-05-28T12:27:27.756Z,::ffff:172.18.0.4,3.313
2025-05-28T12:27:33.153Z,::ffff:172.18.0.4,3.289
2025-05-28T12:27:38.695Z,::ffff:172.18.0.4,3.363
2025-05-28T12:35:47.902Z,::ffff:172.18.0.4,3.3
2025-05-28T12:35:53.290Z,::ffff:172.18.0.4,3.267
2025-05-28T12:35:58.767Z,::ffff:172.18.0.4,3.28
2025-05-28T12:36:04.221Z,::ffff:172.18.0.4,3.294
2025-05-28T12:39:29.449Z,::ffff:172.18.0.4,3.272
2025-05-28T12:39:34.868Z,::ffff:172.18.0.4,3.292
2025-05-28T12:39:40.279Z,::ffff:172.18.0.4,3.288
2025-05-28T12:39:45.706Z,::ffff:172.18.0.4,3.289
2025-05-28T12:43:13.973Z,::ffff:172.18.0.4,3.351
2025-05-28T12:43:19.356Z,::ffff:172.18.0.4,3.263
2025-05-28T12:43:24.823Z,::ffff:172.18.0.4,3.28
2025-05-28T12:43:30.287Z,::ffff:172.18.0.4,3.263
2025-05-28T12:53:37.708Z,::ffff:172.18.0.4,3.282
2025-05-28T12:53:43.191Z,::ffff:172.18.0.4,3.284
2025-05-28T12:53:48.586Z,::ffff:172.18.0.4,3.299
2025-05-28T12:53:54.018Z,::ffff:172.18.0.4,3.3
2025-05-28T13:07:44.055Z,::ffff:172.18.0.4,3.296
2025-05-28T13:07:49.528Z,::ffff:172.18.0.4,3.344
